legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies
2,Provincial,Act,Agricultural Land Commission Act,Agricultural Land Commission Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02036_01,Agriculture and Food
3,Provincial,Regulations,Agricultural Land Commission Act,Agricultural Land Reserve General Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/57_2020,Agriculture and Food
4,Provincial,Regulations,Agricultural Land Commission Act,Agricultural Land Reserve Use Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/30_2019,Agriculture and Food
7,Provincial,Act,Animal Health Act,Animal Health Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14016,Agriculture and Food
8,Provincial,Regulations,Animal Health Act,Animal Products and Byproducts Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/2_2015,Agriculture and Food
161,Provincial,Regulations,Animal Health Act,Reportable and Notifiable Disease Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/7_2015,Agriculture and Food
15,Provincial,Act,Assessment Act,Assessment Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96020_01,Finance
21,Federal,Act,Canada National Marine Conservation Areas Act,Canada National Marine Conservation Areas Act,https://laws-lois.justice.gc.ca/eng/acts/C-7.3/index.html,Minister of the Environment
22,Federal,Act,Canada National Parks Act,Canada National Parks Act,https://laws-lois.justice.gc.ca/eng/acts/N-14.01/index.html,Minister of the Environment
95,Federal,Order,Canada National Parks Act,Gwaii Haanas National Park Reserve Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-93/index.html,Minister of the Environment
120,Federal,Regulations,Canada National Parks Act,National Historic Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-82-263/index.html,Minister of the Environment
121,Federal,Regulations,Canada National Parks Act,National Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-213/index.html,Minister of the Environment
124,Federal,Regulations,Canada National Parks Act,National Parks Wildlife Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-81-401/index.html,Minister of the Environment
122,Federal,Regulations,Canada National Parks Act,National Parks of Canada Fishing Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1120/index.html",Minister of the Environment
123,Federal,Regulations,Canada National Parks Act,National Parks of Canada Water and Sewer Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1134/index.html",Minister of the Environment
23,Federal,Act,Canada Oil And Gas Operations Act,Canada Oil and Gas Operations Act,https://laws-lois.justice.gc.ca/eng/acts/O-7/index.html,Minister of Natural Resources; Minister of Northern Affairs
17,Federal,Regulations,"Canada Shipping Act, 2001",Ballast Water Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-120/page-1.html,Minister of Fisheries and Oceans; Minister of Transport
24,Federal,Act,"Canada Shipping Act, 2001","Canada Shipping Act, 2001",https://laws-lois.justice.gc.ca/eng/acts/C-10.15/index.html,Minister of Fisheries and Oceans; Minister of Transport
39,Federal,Regulations,"Canada Shipping Act, 2001",Cross-border Movement of Hazardous Waste and Hazardous Recyclable Material Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-25/index.html,Minister of Fisheries and Oceans; Minister of Transport
67,Federal,Regulations,"Canada Shipping Act, 2001",Environmental Response Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-252/index.html,Minister of Fisheries and Oceans; Minister of Transport
